"year","race","hispanic","region","partyid","coninc","polviews"
1972,1,NA,3,0,60185,NA
1972,1,NA,3,1,NA,NA
1972,1,NA,3,7,11111,NA
1972,1,NA,3,1,11111,NA
1972,1,NA,3,0,3704,NA
1972,1,NA,3,1,41667,NA
1972,1,NA,3,0,25926,NA
1972,1,NA,6,1,11111,NA
1972,1,NA,6,0,3704,NA
1972,1,NA,6,4,41667,NA
1972,1,NA,6,2,NA,NA
1972,1,NA,6,1,18519,NA
1972,1,NA,6,0,NA,NA
1972,1,NA,6,2,33333,NA
1972,1,NA,4,5,18519,NA
1972,1,NA,4,1,18519,NA
1972,1,NA,4,1,18519,NA
1972,1,NA,4,7,3704,NA
1972,1,NA,4,1,3704,NA
1972,1,NA,4,7,NA,NA
1972,1,NA,4,5,33333,NA
1972,1,NA,2,5,33333,NA
1972,1,NA,2,5,50926,NA
1972,1,NA,2,6,50926,NA
1972,1,NA,2,6,11111,NA
1972,1,NA,2,6,3704,NA
1972,1,NA,2,7,60185,NA
1972,1,NA,2,4,60185,NA
1972,1,NA,2,5,41667,NA
1972,1,NA,1,2,33333,NA
1972,1,NA,1,3,25926,NA
1972,1,NA,1,3,25926,NA
1972,1,NA,1,6,33333,NA
1972,1,NA,1,2,41667,NA
1972,1,NA,1,3,83333,NA
1972,1,NA,1,1,50926,NA
1972,1,NA,1,5,25926,NA
1972,1,NA,2,1,18519,NA
1972,1,NA,2,1,11111,NA
1972,1,NA,2,1,11111,NA
1972,1,NA,2,0,25926,NA
1972,1,NA,2,5,3704,NA
1972,1,NA,2,0,3704,NA
1972,1,NA,2,0,41667,NA
1972,1,NA,2,1,33333,NA
1972,1,NA,8,5,41667,NA
1972,1,NA,8,0,83333,NA
1972,1,NA,8,2,25926,NA
1972,1,NA,8,4,50926,NA
1972,1,NA,8,5,33333,NA
1972,1,NA,8,1,33333,NA
1972,1,NA,8,1,41667,NA
1972,1,NA,8,1,25926,NA
1972,1,NA,8,1,33333,NA
1972,1,NA,8,7,NA,NA
1972,1,NA,8,3,NA,NA
1972,1,NA,8,1,25926,NA
1972,1,NA,8,2,50926,NA
1972,1,NA,8,1,33333,NA
1972,1,NA,8,5,60185,NA
1972,1,NA,8,1,33333,NA
1972,1,NA,8,1,60185,NA
1972,1,NA,8,4,41667,NA
1972,1,NA,8,1,41667,NA
1972,1,NA,8,4,60185,NA
1972,1,NA,2,5,50926,NA
1972,1,NA,2,0,11111,NA
1972,1,NA,2,5,25926,NA
1972,1,NA,2,5,11111,NA
1972,1,NA,2,5,11111,NA
1972,1,NA,2,2,60185,NA
1972,1,NA,2,5,11111,NA
1972,1,NA,2,1,50926,NA
1972,1,NA,2,0,83333,NA
